order_date,region,segment,revenue,profit,units_sold,discount_pct,customer_satisfaction,churned
2025-03-12,South,Corporate,575.55,53.67,16,0,4.6,0
2025-03-13,East,Home Office,410.99,92.38,18,10,4.3,0
2025-03-14,East,Consumer,462.43,59.67,13,0,5.0,0
2025-03-15,North,Corporate,227.23,37.94,16,0,5.0,0
2025-03-16,East,Consumer,327.29,58.7,10,5,4.7,0
2025-03-17,North,Consumer,742.66,105.6,12,0,5.0,0
2025-03-18,North,Home Office,171.78,22.58,7,10,4.3,0
2025-03-19,West,Home Office,449.33,67.26,12,0,5.0,0
2025-03-20,North,Home Office,532.88,106.26,12,0,5.0,0
2025-03-21,South,Home Office,443.85,101.86,11,5,4.7,0
2025-03-22,East,Corporate,378.78,86.44,17,0,4.4,0
2025-03-23,East,Consumer,490.84,73.76,12,15,3.9,0
2025-03-24,East,Corporate,499.26,80.09,17,0,5.0,0
2025-03-25,West,Consumer,487.68,75.09,12,5,4.5,0
2025-03-26,South,Home Office,218.34,48.58,12,5,5.0,0
2025-03-27,East,Consumer,477.89,46.89,17,15,4.4,0
2025-03-28,West,Corporate,371.73,97.36,14,0,5.0,0
2025-03-29,East,Home Office,417.84,73.44,10,15,4.5,0
2025-03-30,East,Consumer,534.05,85.89,18,15,4.4,0
2025-03-31,South,Home Office,596.11,129.34,9,0,4.7,0
2025-04-01,East,Home Office,634.52,159.66,13,0,4.9,0
2025-04-02,South,Consumer,425.54,92.4,7,10,5.0,0
2025-04-03,East,Corporate,638.6,161.33,14,0,4.5,0
2025-04-04,South,Consumer,676.06,139.75,12,0,4.8,0
2025-04-05,South,Home Office,670.5,175.32,13,0,5.0,0
2025-04-06,East,Consumer,708.47,185.8,20,10,4.4,0
2025-04-07,South,Corporate,478.15,93.25,11,15,3.9,0
2025-04-08,South,Corporate,473.88,128.88,20,15,3.7,0
2025-04-09,West,Corporate,623.76,129.89,13,5,5.0,0
2025-04-10,South,Home Office,295.02,60.29,13,5,5.0,0
2025-04-11,West,Home Office,531.41,81.8,11,20,4.6,0
2025-04-12,East,Consumer,420.42,78.01,14,10,4.5,0
2025-04-13,South,Home Office,444.68,106.23,10,20,4.4,0
2025-04-14,East,Consumer,238.77,32.08,11,10,,0
2025-04-15,North,Consumer,366.42,85.19,12,10,4.6,0
2025-04-16,South,Corporate,496.93,108.05,12,10,4.2,0
2025-04-17,West,Home Office,633.27,135.44,14,0,5.0,0
2025-04-18,East,Corporate,648.5,58.15,8,0,5.0,0
2025-04-19,East,Corporate,487.95,95.07,6,0,5.0,0
2025-04-20,East,Home Office,471.61,109.61,12,15,3.9,0
2025-04-21,East,Corporate,375.4,60.76,7,20,4.5,0
2025-04-22,East,Corporate,560.35,114.6,15,10,4.3,0
2025-04-23,South,Home Office,462.86,37.54,15,0,4.6,0
2025-04-24,North,Consumer,590.88,138.01,14,0,4.9,0
2025-04-25,North,Home Office,762.75,127.29,16,5,4.2,0
2025-04-26,North,Corporate,495.14,120.6,13,0,5.0,0
2025-04-27,South,Corporate,1533.84,165.44,9,0,5.0,0
2025-04-28,West,Home Office,370.87,87.01,10,0,4.9,0
2025-04-29,South,Home Office,281.28,52.92,14,10,4.7,0
2025-04-30,South,Home Office,320.43,77.03,23,10,4.4,0
2025-05-01,South,Home Office,695.79,106.95,9,0,5.0,0
2025-05-02,East,Consumer,534.0,90.29,13,0,4.4,0
2025-05-03,West,Corporate,271.97,84.89,7,0,5.0,0
2025-05-04,West,Home Office,598.04,94.79,8,5,4.4,0
2025-05-05,South,Consumer,689.06,113.49,11,10,4.3,0
2025-05-06,North,Consumer,446.02,83.04,13,5,4.7,0
2025-05-07,West,Home Office,398.6,59.34,14,15,4.3,0
2025-05-08,South,Home Office,449.39,116.63,16,0,4.3,0
2025-05-09,East,Consumer,542.69,155.35,9,0,4.4,0
2025-05-10,North,Consumer,596.0,98.22,18,10,4.4,0
2025-05-11,West,Corporate,677.33,77.01,18,15,4.4,0
2025-05-12,South,Home Office,681.87,176.33,5,15,4.4,0
2025-05-13,South,Corporate,677.81,173.13,17,0,5.0,0
2025-05-14,North,Consumer,704.29,169.79,14,0,5.0,0
2024-10-31,East,Home Office,463.09,82.04,11,10,4.4,0
2024-12-06,South,Corporate,357.01,84.84,14,15,4.5,0
2024-02-17,South,Corporate,400.16,77.98,15,15,4.5,0
2024-03-08,North,Home Office,553.53,89.78,11,15,4.3,0
